matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
34,Parma,Ndiaye,d,6.5,6.0,"6,5",6
34,Parma,Troilo,d,6.5,6.5,"6,5","6,5"
34,Parma,Nicolussi Caviglia,c,6.5,6.5,"6,5","6,5"
34,Parma,Strefezza,c,6.0,6.0,6,6
34,Parma,Estevez,c,55.0,55.0,55,55
34,Parma,Bernabè,c,6.5,6.5,"6,5","6,5"
34,Parma,Keita M.,c,6.0,6.0,6,6
34,Parma,Ordonez C.,c,6.0,6.0,6,6
34,Parma,Sorensen O.,c,6.5,7.5,"6,5","7,5"
34,Parma,Almqvist,a,55.0,55.0,55,55
34,Parma,Pellegrino M.,a,6.0,6.0,6,6
34,Parma,Elphege,a,7.0,10.0,7,10
34,Parma,Cuesta,all,6.5,6.5,"6,5","6,5"
34,Pisa,Semper,p,6.0,5.0,6,5
34,Pisa,Cuadrado,d,55.0,55.0,55,55
34,Pisa,Caracciolo A.,d,6.0,6.0,6,6
34,Pisa,Canestrelli,d,6.0,5.5,6,"5,5"
34,Pisa,Angori,d,6.0,6.0,6,6
34,Pisa,Bozhinov,d,6.5,6.5,"6,5","6,5"
34,Pisa,Leris,c,6.0,6.0,6,6
34,Pisa,Aebischer,c,5.5,5.5,"5,5","5,5"
34,Pisa,Akinsanmiro,c,5.5,5.5,"5,5","5,5"
34,Pisa,Piccinini G.,c,6.0,6.0,6,6
34,Pisa,Tourè I.,c,5.5,5.5,"5,5","5,5"
34,Pisa,Vural,c,6.5,6.0,"6,5",6
34,Pisa,Lorran,c,55.0,55.0,55,55
34,Pisa,Moreo,a,5.0,5.0,5,5
34,Pisa,Meister,a,5.5,5.5,"5,5","5,5"
34,Pisa,Stojilkovic,a,6.0,6.0,6,6
34,Pisa,Hiljemark,all,5.5,5.5,"5,5","5,5"
34,Roma,Svilar,p,6.5,6.5,"6,5","6,5"
34,Roma,Mancini,d,6.5,6.5,"6,5","6,5"
34,Roma,N'Dicka,d,6.0,6.0,6,6
34,Roma,Celik,d,6.0,6.0,6,6
34,Roma,Hermoso,d,6.0,5.5,6,"5,5"
34,Roma,Ghilardi,d,6.0,6.0,6,6
34,Roma,Rensch,d,6.0,5.5,6,"5,5"
34,Roma,Wesley,d,7.0,7.0,7,7
34,Roma,Ziolkowski,d,55.0,55.0,55,55
34,Roma,Cristante,c,6.0,6.0,6,6
34,Roma,Pisilli,c,6.0,6.0,6,6
34,Roma,El Aynaoui,c,7.5,11.0,"7,5",11
34,Roma,Dybala,a,55.0,55.0,55,55
34,Roma,Malen,a,7.5,11.5,"7,5","11,5"
34,Roma,Soulè,a,6.5,6.5,"6,5","6,5"
34,Roma,Vaz,a,6.0,6.0,6,6
34,Roma,Gasperini,all,7.0,7.0,7,7
34,Sassuolo,Turati,p,6.5,6.5,"6,5","6,5"
34,Sassuolo,Walukiewicz,d,6.0,6.0,6,6
34,Sassuolo,Garcia U.,d,6.5,6.5,"6,5","6,5"
34,Sassuolo,Idzes,d,6.5,6.5,"6,5","6,5"
34,Sassuolo,Muharemovic,d,6.0,6.0,6,6
34,Sassuolo,Matic,c,6.0,6.0,6,6
34,Sassuolo,Vranckx,c,55.0,55.0,55,55
34,Sassuolo,Volpato,c,6.0,6.0,6,6
34,Sassuolo,Thorstvedt,c,6.0,6.0,6,6
34,Sassuolo,Lipani,c,6.0,6.0,6,6
34,Sassuolo,Konè I.,c,6.0,6.0,6,6
34,Sassuolo,Fadera,c,6.0,6.0,6,6
34,Sassuolo,Pinamonti,a,5.5,5.5,"5,5","5,5"
34,Sassuolo,Nzola,a,6.0,6.0,6,6
34,Sassuolo,Laurientè,a,6.0,5.5,6,"5,5"
34,Sassuolo,Moro L.,a,55.0,55.0,55,55
34,Sassuolo,Grosso,all,6.0,6.0,6,6
34,Torino,Paleari,p,6.5,4.5,"6,5","4,5"
34,Torino,Lazaro,d,5.5,5.5,"5,5","5,5"
34,Torino,Ismajli,d,6.5,6.5,"6,5","6,5"
34,Torino,Ebosse,d,5.5,5.0,"5,5",5
34,Torino,Coco,d,5.5,5.5,"5,5","5,5"
34,Torino,Marianucci,d,6.5,6.5,"6,5","6,5"
34,Torino,Obrador,d,6.0,6.0,6,6
34,Torino,Tameze,c,55.0,55.0,55,55
34,Torino,Vlasic,c,6.5,9.5,"6,5","9,5"
34,Torino,Casadei,c,6.0,6.0,6,6
34,Torino,Ilkhan,c,6.5,7.5,"6,5","7,5"
34,Torino,Gineitis,c,5.5,5.5,"5,5","5,5"
34,Torino,Zapata D.,a,6.5,6.5,"6,5","6,5"
34,Torino,Simeone,a,7.0,10.0,7,10
34,Torino,Adams C.,a,5.5,5.5,"5,5","5,5"
34,Torino,Njie,a,6.0,6.0,6,6
34,Torino,D'Aversa,all,7.0,6.5,7,"6,5"
34,Udinese,Okoye,p,6.0,3.0,6,3
34,Udinese,Kabasele,d,6.0,6.0,6,6
34,Udinese,Kamara H.,d,5.5,5.5,"5,5","5,5"
34,Udinese,Ehizibue,d,7.0,10.0,7,10
34,Udinese,Kristensen T.,d,5.5,5.5,"5,5","5,5"
34,Udinese,Solet,d,5.0,5.0,5,5
34,Udinese,Arizala,d,5.5,5.5,"5,5","5,5"
34,Udinese,Zaniolo,c,6.0,6.0,6,6
34,Udinese,Zarraga,c,55.0,55.0,55,55
34,Udinese,Ekkelenkamp,c,6.5,7.5,"6,5","7,5"
34,Udinese,Atta,c,8.0,14.0,8,14
34,Udinese,Piotrowski,c,5.5,5.5,"5,5","5,5"
34,Udinese,Miller L.,c,6.0,6.0,6,6
34,Udinese,Bayo V.,a,6.5,6.5,"6,5","6,5"
34,Udinese,Buksa,a,5.5,5.5,"5,5","5,5"
34,Udinese,Gueye,a,5.5,5.5,"5,5","5,5"
34,Udinese,Runjaic,all,6.5,6.5,"6,5","6,5"
34,Verona,Montipò,p,6.5,6.5,"6,5","6,5"
34,Verona,Lirola,d,55.0,55.0,55,55
34,Verona,Frese,d,6.0,6.0,6,6
34,Verona,Valentini N.,d,6.0,5.5,6,"5,5"
