matchday,team,oppteam,home,goals_for,goals_against
22,Genoa,Bologna,1,3,2
22,Hellas Verona,Udinese,1,1,3
22,Inter,Pisa,1,6,2
22,Juventus,Napoli,1,3,0
22,Lazio,Lecce,0,0,0
22,Lecce,Lazio,1,0,0
22,Milan,Roma,0,1,1
22,Napoli,Juventus,0,0,3
22,Parma,Atalanta,0,0,4
22,Pisa,Inter,0,2,6
22,Roma,Milan,1,1,1
22,Sassuolo,Cremonese,1,1,0
22,Torino,Como,0,0,6
22,Udinese,Hellas Verona,0,3,1
23,Atalanta,Como,0,0,0
23,Bologna,Milan,1,0,3
23,Cagliari,Hellas Verona,1,4,0
23,Como,Atalanta,1,0,0
23,Cremonese,Inter,1,0,2
23,Fiorentina,Napoli,0,1,2
23,Genoa,Lazio,0,2,3
23,Hellas Verona,Cagliari,0,0,4
23,Inter,Cremonese,0,2,0
23,Juventus,Parma,0,4,1
23,Lazio,Genoa,1,3,2
23,Lecce,Torino,0,0,1
23,Milan,Bologna,0,3,0
23,Napoli,Fiorentina,1,2,1
23,Parma,Juventus,1,1,4
23,Pisa,Sassuolo,1,1,3
23,Roma,Udinese,0,0,1
23,Sassuolo,Pisa,0,3,1
23,Torino,Lecce,1,1,0
23,Udinese,Roma,1,1,0
24,Atalanta,Cremonese,1,2,1
24,Bologna,Parma,1,0,1
24,Cagliari,Roma,0,0,2
24,Como,Milan,0,1,1
24,Cremonese,Atalanta,0,1,2
24,Fiorentina,Torino,1,2,2
24,Genoa,Napoli,1,2,3
24,Hellas Verona,Pisa,1,0,0
24,Inter,Sassuolo,0,5,0
24,Juventus,Lazio,1,2,2
24,Lazio,Juventus,0,2,2
24,Lecce,Udinese,1,2,1
24,Milan,Como,1,1,1
24,Napoli,Genoa,0,3,2
24,Parma,Bologna,0,1,0
24,Pisa,Hellas Verona,0,0,0
24,Roma,Cagliari,1,2,0
24,Sassuolo,Inter,1,0,5
24,Torino,Fiorentina,0,2,2
24,Udinese,Lecce,0,1,2
25,Atalanta,Lazio,0,2,0
25,Bologna,Torino,0,2,1
25,Cagliari,Lecce,1,0,2
25,Como,Fiorentina,1,1,2
25,Cremonese,Genoa,1,0,0
25,Fiorentina,Como,0,2,1
25,Genoa,Cremonese,0,0,0
25,Hellas Verona,Parma,0,1,2
25,Inter,Juventus,1,3,2
25,Juventus,Inter,0,2,3
25,Lazio,Atalanta,1,0,2
25,Lecce,Cagliari,0,2,0
25,Milan,Pisa,0,2,1
25,Napoli,Roma,1,2,2
25,Parma,Hellas Verona,1,2,1
25,Pisa,Milan,1,1,2
25,Roma,Napoli,0,2,2
25,Sassuolo,Udinese,0,2,1
25,Torino,Bologna,1,1,2
25,Udinese,Sassuolo,1,1,2
26,Atalanta,Napoli,1,2,1
26,Bologna,Udinese,1,1,0
26,Cagliari,Lazio,1,0,0
26,Como,Juventus,0,2,0
26,Cremonese,Roma,0,0,3
26,Fiorentina,Pisa,1,1,0
26,Genoa,Torino,1,3,0
26,Hellas Verona,Sassuolo,0,0,3
26,Inter,Lecce,0,2,0
26,Juventus,Como,1,0,2
26,Lazio,Cagliari,0,0,0
26,Lecce,Inter,1,0,2
26,Milan,Parma,1,0,1
26,Napoli,Atalanta,0,1,2
26,Parma,Milan,0,1,0
26,Pisa,Fiorentina,0,0,1
26,Roma,Cremonese,1,3,0
26,Sassuolo,Hellas Verona,1,3,0
26,Torino,Genoa,0,0,3
26,Udinese,Bologna,0,0,1
27,Atalanta,Sassuolo,0,1,2
27,Bologna,Pisa,0,1,0
27,Cagliari,Parma,0,1,1
27,Como,Lecce,1,3,1
27,Cremonese,Milan,1,0,2
27,Fiorentina,Udinese,0,0,3
27,Genoa,Inter,0,0,2
27,Hellas Verona,Napoli,1,1,2
27,Inter,Genoa,1,2,0
27,Juventus,Roma,0,3,3
27,Lazio,Torino,0,0,2
27,Lecce,Como,0,1,3
27,Milan,Cremonese,0,2,0
27,Napoli,Hellas Verona,0,2,1
27,Parma,Cagliari,1,1,1
27,Pisa,Bologna,1,0,1
27,Roma,Juventus,1,3,3
27,Sassuolo,Atalanta,1,2,1
27,Torino,Lazio,1,2,0
27,Udinese,Fiorentina,1,3,0
28,Atalanta,Udinese,1,2,2
28,Bologna,Hellas Verona,1,1,2
28,Cagliari,Como,1,1,2
28,Como,Cagliari,0,2,1
28,Cremonese,Lecce,0,1,2
28,Fiorentina,Parma,1,0,0
28,Genoa,Roma,1,2,1
28,Hellas Verona,Bologna,0,2,1
28,Inter,Milan,0,0,1
28,Juventus,Pisa,1,4,0
28,Lazio,Sassuolo,1,2,1
28,Lecce,Cremonese,1,2,1
28,Milan,Inter,1,1,0
28,Napoli,Torino,1,2,1
28,Parma,Fiorentina,0,0,0
28,Pisa,Juventus,0,0,4
28,Roma,Genoa,0,1,2
28,Sassuolo,Lazio,0,1,2
28,Torino,Napoli,0,1,2
28,Udinese,Atalanta,0,2,2
29,Atalanta,Inter,0,1,1
29,Bologna,Sassuolo,0,1,0
29,Cagliari,Pisa,0,1,3
29,Como,Roma,1,2,1
29,Cremonese,Fiorentina,1,1,4
29,Fiorentina,Cremonese,0,4,1
29,Genoa,Hellas Verona,0,2,0
29,Hellas Verona,Genoa,1,0,2
29,Inter,Atalanta,1,1,1
29,Juventus,Udinese,0,1,0
29,Lazio,Milan,1,1,0
29,Lecce,Napoli,0,1,2
29,Milan,Lazio,0,0,1
29,Napoli,Lecce,1,2,1
29,Parma,Torino,0,1,4
29,Pisa,Cagliari,1,3,1
29,Roma,Como,0,1,2
29,Sassuolo,Bologna,1,0,1
29,Torino,Parma,1,4,1
29,Udinese,Juventus,1,0,1
30,Atalanta,Hellas Verona,1,1,0
30,Bologna,Lazio,1,0,2
30,Cagliari,Napoli,1,0,1
30,Como,Pisa,1,5,0
30,Cremonese,Parma,0,2,0
30,Fiorentina,Inter,1,1,1
30,Genoa,Udinese,1,0,2
30,Hellas Verona,Atalanta,0,0,1
30,Inter,Fiorentina,0,1,1
30,Juventus,Sassuolo,1,1,1
30,Lazio,Bologna,0,2,0
30,Lecce,Roma,0,0,1
30,Milan,Torino,1,3,2
30,Napoli,Cagliari,0,1,0
30,Parma,Cremonese,1,0,2
30,Pisa,Como,0,0,5
30,Roma,Lecce,1,1,0
30,Sassuolo,Juventus,0,1,1
30,Torino,Milan,0,2,3
30,Udinese,Genoa,0,2,0
31,Atalanta,Lecce,0,3,0
31,Bologna,Cremonese,0,2,1
31,Cagliari,Sassuolo,0,1,2
31,Como,Udinese,0,0,0
31,Cremonese,Bologna,1,1,2
31,Fiorentina,Hellas Verona,0,1,0
31,Genoa,Juventus,0,0,2
31,Hellas Verona,Fiorentina,1,0,1
31,Inter,Roma,1,5,2
31,Juventus,Genoa,1,2,0
31,Lazio,Parma,1,1,1
31,Lecce,Atalanta,1,0,3
31,Milan,Napoli,0,0,1
31,Napoli,Milan,1,1,0
31,Parma,Lazio,0,1,1
31,Pisa,Torino,1,0,1
31,Roma,Inter,0,2,5
31,Sassuolo,Cagliari,1,2,1
31,Torino,Pisa,0,1,0
31,Udinese,Como,1,0,0
32,Atalanta,Juventus,1,0,1
32,Bologna,Lecce,1,2,0
32,Cagliari,Cremonese,1,1,0
32,Como,Inter,1,3,4
32,Cremonese,Cagliari,0,0,1
32,Fiorentina,Lazio,1,1,0
32,Genoa,Sassuolo,1,2,1
32,Hellas Verona,Torino,0,1,2
32,Inter,Como,0,4,3
32,Juventus,Atalanta,0,1,0
32,Lazio,Fiorentina,0,0,1
32,Lecce,Bologna,0,0,2
32,Milan,Udinese,1,0,3
32,Napoli,Parma,0,1,1
32,Parma,Napoli,1,1,1
32,Pisa,Roma,0,0,3
32,Roma,Pisa,1,3,0
32,Sassuolo,Genoa,0,1,2
32,Torino,Hellas Verona,1,2,1
32,Udinese,Milan,0,3,0
33,Atalanta,Roma,0,1,1
33,Bologna,Juventus,0,0,2
33,Cagliari,Inter,0,0,3
33,Como,Sassuolo,0,1,2
33,Cremonese,Torino,1,0,0
33,Fiorentina,Lecce,0,1,1
33,Genoa,Pisa,0,2,1
33,Hellas Verona,Milan,1,0,1
33,Inter,Cagliari,1,3,0
33,Juventus,Bologna,1,2,0
33,Lazio,Napoli,0,2,0
33,Lecce,Fiorentina,1,1,1
33,Milan,Hellas Verona,0,1,0
33,Napoli,Lazio,1,0,2
33,Parma,Udinese,0,1,0
33,Pisa,Genoa,1,1,2
33,Roma,Atalanta,1,1,1
33,Sassuolo,Como,1,2,1
33,Torino,Cremonese,0,0,0
33,Udinese,Parma,1,0,1
34,Atalanta,Cagliari,0,2,3
34,Bologna,Roma,1,0,2
34,Cagliari,Atalanta,1,3,2
34,Como,Genoa,0,2,0
34,Cremonese,Napoli,0,0,4
34,Fiorentina,Sassuolo,1,0,0
34,Genoa,Como,1,0,2
34,Hellas Verona,Lecce,1,0,0
34,Inter,Torino,0,2,2
34,Juventus,Milan,0,0,0
34,Lazio,Udinese,1,3,3
34,Lecce,Hellas Verona,0,0,0
34,Milan,Juventus,1,0,0
34,Napoli,Cremonese,1,4,0
34,Parma,Pisa,1,1,0
34,Pisa,Parma,0,0,1
34,Roma,Bologna,0,2,0
34,Sassuolo,Fiorentina,0,0,0
34,Torino,Inter,1,2,2
34,Udinese,Lazio,0,3,3
35,Atalanta,Genoa,1,0,0
35,Bologna,Cagliari,1,0,0
35,Cagliari,Bologna,0,0,0
35,Como,Napoli,1,0,0
35,Cremonese,Lazio,1,1,2
35,Fiorentina,Roma,0,0,4
35,Genoa,Atalanta,0,0,0
35,Hellas Verona,Juventus,0,1,1
35,Inter,Parma,1,2,0
35,Juventus,Hellas Verona,1,1,1
35,Lazio,Cremonese,0,2,1
35,Lecce,Pisa,0,2,1
35,Milan,Sassuolo,0,0,2
35,Napoli,Como,0,0,0
35,Parma,Inter,0,0,2
35,Pisa,Lecce,1,1,2
35,Roma,Fiorentina,1,4,0
35,Sassuolo,Milan,1,2,0
35,Torino,Udinese,0,0,2
35,Udinese,Torino,1,2,0
36,Atalanta,Milan,0,3,2
36,Bologna,Napoli,0,3,2
36,Cagliari,Udinese,1,0,2
36,Como,Hellas Verona,0,1,0
36,Cremonese,Pisa,1,3,0
36,Fiorentina,Genoa,1,0,0
36,Genoa,Fiorentina,0,0,0
36,Hellas Verona,Como,1,0,1
36,Inter,Lazio,0,3,0
36,Juventus,Lecce,0,1,0
36,Lazio,Inter,1,0,3
36,Lecce,Juventus,1,0,1
36,Milan,Atalanta,1,2,3
36,Napoli,Bologna,1,2,3
36,Parma,Roma,1,2,3
36,Pisa,Cremonese,0,0,3
36,Roma,Parma,0,3,2
36,Sassuolo,Torino,0,1,2
36,Torino,Sassuolo,1,2,1
36,Udinese,Cagliari,0,2,0
37,Atalanta,Bologna,1,0,1
37,Bologna,Atalanta,0,1,0
37,Cagliari,Torino,1,2,1
37,Como,Parma,1,1,0
37,Cremonese,Udinese,0,1,0
37,Fiorentina,Juventus,0,2,0
37,Genoa,Milan,1,1,2
37,Hellas Verona,Inter,0,1,1
37,Inter,Hellas Verona,1,1,1
37,Juventus,Fiorentina,1,0,2
37,Lazio,Roma,0,0,2
37,Lecce,Sassuolo,0,3,2
37,Milan,Genoa,0,2,1
37,Napoli,Pisa,0,3,0
37,Parma,Como,0,0,1
37,Pisa,Napoli,1,0,3
37,Roma,Lazio,1,2,0
37,Sassuolo,Lecce,1,2,3
37,Torino,Cagliari,0,1,2
37,Udinese,Cremonese,1,0,1
38,Atalanta,Fiorentina,0,1,1
38,Bologna,Inter,1,3,3
38,Cagliari,Milan,0,2,1
38,Como,Cremonese,0,4,1
38,Cremonese,Como,1,1,4
38,Fiorentina,Atalanta,1,1,1
38,Genoa,Lecce,0,0,1
38,Hellas Verona,Roma,1,0,2
38,Inter,Bologna,0,3,3
38,Juventus,Torino,0,2,2
38,Lazio,Pisa,1,2,1
38,Lecce,Genoa,1,1,0
38,Milan,Cagliari,1,1,2
38,Napoli,Udinese,1,1,0
38,Parma,Sassuolo,1,1,0
38,Pisa,Lazio,0,1,2
38,Roma,Hellas Verona,0,2,0
38,Sassuolo,Parma,0,0,1
38,Torino,Juventus,1,2,2
